,0,1
438,l:abor,2
439,labor,5
440,large,2
441,larger,2
442,last,1
443,late,1
444,latino,2
445,latinos,2
446,laugh,17
447,law:s,1
448,leaders,4
449,league,1
450,learn,1
451,least,1
452,legislation,1
453,legislative,1
454,less,2
455,let,1
456,let's,4
457,level,1
458,levels:,1
459,liberty,1
460,life,1
461,light,1
462,like,8
463,line,1
464,listen,1
465,literature,3
466,living,1
467,long,4
468,look,2
469,looks,1
470,los,3
471,loss,1
472,lost,4
473,lot,9
474,lucky,2
475,luther,2
476,m-,2
477,m:onarchy,1
478,m:ore,1
479,m:ostly,1
480,m:uch,1
481,made,1
482,mainstream,1
483,major,8
484,make,7
485,making,2
486,man,1
487,managerial,2
488,managers,1
489,manifest,1
490,manifestation,1
491,manifesting,1
492,many,7
493,march,3
494,marching,1
495,martin,2
496,matter,1
497,maybe,1
498,me,3
499,mean,11
500,means,2
501,measure,3
502,measured,1
503,measurement,1
504,media,2
505,members,3
506,men,1
507,mentioned,1
508,methods,1
509,mexican,1
510,mexico,1
511,mexico's,1
512,mhm,6
513,military,3
514,million,2
515,minorities,2
516,minority,1
517,minutes,1
518,mister,1
519,mobile,1
520,mobilization,2
521,mobilize,1
522,mobilized,3
523,mobilizing,1
524,molded,1
525,mom,2
526,monarchy,1
527,money,1
528,montoya,2
529,moratorium,1
530,more,24
531,most,7
532,motors,1
533,movement,1
534,much,14
535,must,2
536,my,8
537,n-,1
538,name,1
539,national,1
540,nature,3
541,negatively,1
542,negatives,1
543,news,1
544,next,2
545,nineteen,1
546,nineteen-ninety-three,3
547,nineteen-seventies,1
548,nineteen-seventy,1
549,nineteen-seventy-two,1
550,nineteen-sixty-eight,2
551,nineteen-sixty-three,5
552,ninety,1
553,nixon,1
554,no,12
555,no:,1
556,north,1
557,not,24
558,notion,2
559,now,11
560,number,1
561,numbers,11
562,objective,1
563,objectives,1
564,of,121
565,of:,1
566,oh,1
567,okay,15
568,on,18
569,on:,1
570,one,16
571,only,2
572,or,22
573,or-,1
574,organizations,2
575,organized,1
576,other,7
577,otherwise,1
578,our,9
579,ourselves,1
580,out,3
581,owners,1
582,parents,3
583,part,2
584,participate,7
585,participating,1
586,participation,9
587,parties,4
588,party,4
589,pas:t,1
590,passed,1
591,people,27
592,people's,1
593,peoples',1
594,per,1
595,percent,3
596,perception,1
597,perhaps,2
598,period,1
599,periods,1
600,perot,1
601,person,1
602,personal,1
603,perspective,1
604,phase,3
605,phenomena,1
606,phrase,1
607,pieces,1
